Postcode,County
AB1,Aberdeenshire
AB10,Aberdeen City
AB11,Aberdeen City
AB12,Aberdeenshire
AB13,Aberdeenshire
AB14,Aberdeenshire
AB15,Aberdeenshire
AB16,Aberdeen City
AB2,Aberdeenshire
AB21,Aberdeenshire
AB22,Aberdeen City
AB23,Aberdeenshire
AB24,Aberdeen City
AB25,Aberdeen City
AB3,Aberdeenshire
AB30,Aberdeenshire
AB31,Aberdeenshire
AB32,Aberdeenshire
AB33,Aberdeenshire
AB34,Aberdeenshire
AB35,Aberdeenshire
AB36,Aberdeenshire
AB37,Aberdeenshire
AB38,Moray
AB39,Aberdeenshire
AB4,Aberdeenshire
AB41,Aberdeenshire
AB42,Aberdeenshire
AB43,Aberdeenshire
AB44,Moray
AB45,Moray
AB5,Aberdeenshire
AB51,Aberdeenshire
AB52,Aberdeenshire
AB53,Aberdeenshire
AB54,Aberdeenshire
AB55,Moray
AB56,Moray
AB9,Aberdeenshire
AB99,Aberdeenshire
AL1,Hertfordshire
AL10,Hertfordshire
AL2,Hertfordshire
AL3,Hertfordshire
AL4,Hertfordshire
AL5,Hertfordshire
AL6,Hertfordshire
AL7,Hertfordshire
AL8,Hertfordshire
AL9,Hertfordshire
B1,West Midlands
B10,West Midlands
B11,West Midlands
B12,West Midlands
B13,West Midlands
B14,West Midlands
B15,West Midlands
B16,West Midlands
B17,West Midlands
B18,West Midlands
B19,West Midlands
B2,West Midlands
B20,West Midlands
B21,West Midlands
B22,West Midlands
B23,West Midlands
B24,West Midlands
B25,West Midlands
B26,West Midlands
B27,West Midlands
B28,West Midlands
B29,West Midlands
B3,West Midlands
B30,West Midlands
B31,West Midlands
B32,West Midlands
B33,West Midlands
B34,West Midlands
B35,West Midlands
B36,West Midlands
B37,West Midlands
B38,West Midlands
B4,West Midlands
B40,West Midlands
B42,West Midlands
B43,West Midlands
B44,West Midlands
B45,West Midlands
B46,Warwickshire
B47,Worcestershire
B48,Worcestershire
B49,Warwickshire
B5,West Midlands
B50,Warwickshire
B6,West Midlands
B60,Worcestershire
B61,Worcestershire
B62,West Midlands
B63,West Midlands
B64,West Midlands
B65,West Midlands
B66,West Midlands
B67,West Midlands
B68,West Midlands
B69,West Midlands
B7,West Midlands
B70,West Midlands
B71,West Midlands
B72,West Midlands
B73,West Midlands
B74,West Midlands
B75,West Midlands
B76,West Midlands
B77,Staffordshire
B78,Staffordshire
B79,Staffordshire
B8,West Midlands
B80,Warwickshire
B9,West Midlands
B90,West Midlands
B91,West Midlands
B92,West Midlands
B93,West Midlands
B94,Warwickshire
B95,Warwickshire
B96,Worcestershire
B97,Worcestershire
B98,Worcestershire
B99,West Midlands
BA1,Somerset
BA10,Somerset
BA11,Somerset
BA12,Wiltshire
BA13,Wiltshire
BA14,Wiltshire
BA15,Wiltshire
BA16,Somerset
BA2,Somerset
BA20,Somerset
BA21,Somerset
BA22,Somerset
BA3,Somerset
BA4,Somerset
BA5,Somerset
BA6,Somerset
BA7,Somerset
BA8,Dorset
BA9,Somerset
BB0,Lancashire
BB1,Lancashire
BB10,Lancashire
BB11,Lancashire
BB12,Lancashire
BB18,Lancashire
BB2,Lancashire
BB3,Lancashire
BB4,Lancashire
BB5,Lancashire
BB6,Lancashire
BB7,Lancashire
BB8,Lancashire
BB9,Lancashire
BB94,Lancashire
BD1,West Yorkshire
BD10,West Yorkshire
BD11,West Yorkshire
BD12,West Yorkshire
BD13,West Yorkshire
BD14,West Yorkshire
BD15,West Yorkshire
BD16,West Yorkshire
BD17,West Yorkshire
BD18,West Yorkshire
BD19,West Yorkshire
BD2,West Yorkshire
BD20,West Yorkshire
BD21,West Yorkshire
BD22,West Yorkshire
BD23,North Yorkshire
BD24,North Yorkshire
BD3,West Yorkshire
BD4,West Yorkshire
BD5,West Yorkshire
BD6,West Yorkshire
BD7,West Yorkshire
BD8,West Yorkshire
BD9,West Yorkshire
BD97,West Yorkshire
BD98,West Yorkshire
BD99,West Yorkshire
BH1,Dorset
BH10,Dorset
BH11,Dorset
BH12,Dorset
BH13,Dorset
BH14,Dorset
BH15,Dorset
BH16,Dorset
BH17,Dorset
BH18,Dorset
BH19,Dorset
BH2,Dorset
BH20,Dorset
BH21,Dorset
BH22,Dorset
BH23,Dorset
BH24,Dorset
BH25,Dorset
BH3,Dorset
BH31,Dorset
BH4,Dorset
BH5,Dorset
BH6,Dorset
BH7,Dorset
BH8,Dorset
BH9,Dorset
BL0,Greater Manchester
BL1,Greater Manchester
BL11,Greater Manchester
BL2,Greater Manchester
BL3,Greater Manchester
BL4,Greater Manchester
BL5,Greater Manchester
BL6,Greater Manchester
BL7,Greater Manchester
BL78,Greater Manchester
BL8,Greater Manchester
BL9,Greater Manchester
BN1,East Sussex
BN10,East Sussex
BN11,West Sussex
BN12,West Sussex
BN13,West Sussex
BN14,West Sussex
BN15,West Sussex
BN16,West Sussex
BN17,West Sussex
BN18,West Sussex
BN2,East Sussex
BN20,East Sussex
BN21,East Sussex
BN22,East Sussex
BN23,East Sussex
BN24,East Sussex
BN25,East Sussex
BN26,East Sussex
BN27,East Sussex
BN3,East Sussex
BN4,East Sussex
BN41,East Sussex
BN42,East Sussex
BN43,West Sussex
BN44,West Sussex
BN45,West Sussex
BN5,West Sussex
BN50,East Sussex
BN51,East Sussex
BN52,East Sussex
BN6,West Sussex
BN7,East Sussex
BN8,East Sussex
BN88,East Sussex
BN9,East Sussex
BN91,West Sussex
BN95,West Sussex
BN99,West Sussex
BR1,Greater London
BR2,Greater London
BR3,Greater London
BR4,Greater London
BR5,Greater London
BR6,Greater London
BR7,Greater London
BR8,Kent
BR98,Greater London
BS0,Bristol
BS1,Bristol
BS10,Bristol
BS11,Bristol
BS12,Bristol
BS13,Bristol
BS14,Bristol
BS15,South Gloucestershire
BS16,South Gloucestershire
BS17,South Gloucestershire
BS18,South Gloucestershire
BS19,South Gloucestershire
BS2,Bristol
BS20,North Somerset
BS21,North Somerset
BS22,North Somerset
BS23,North Somerset
BS24,North Somerset
BS25,North Somerset
BS26,North Somerset
BS27,North Somerset
BS28,North Somerset
BS29,North Somerset
BS3,Bristol
BS30,South Gloucestershire
BS31,Bath and North East Somerset
BS32,South Gloucestershire
BS34,South Gloucestershire
BS35,South Gloucestershire
BS36,South Gloucestershire
BS37,South Gloucestershire
BS38,South Gloucestershire
BS39,Bath and North East Somerset
BS4,Bristol
BS40,Bath and North East Somerset
BS41,North Somerset
BS48,North Somerset
BS49,North Somerset
BS5,Bristol
BS6,Bristol
BS7,Bristol
BS77,North Somerset
BS8,Bristol
BS80,North Somerset
BS9,Bristol
BS98,Bristol
BS99,Bristol
BT1,Belfast
BT10,Belfast
BT11,Belfast
BT12,Belfast
BT13,Belfast
BT14,Belfast
BT15,Belfast
BT16,Belfast
BT17,Belfast
BT18,County Down
BT19,County Down
BT2,Belfast
BT20,County Down
BT21,County Down
BT22,County Down
BT23,County Down
BT24,County Down
BT25,County Down
BT26,County Down
BT27,County Down
BT28,County Antrim
BT29,County Antrim
BT3,Belfast
BT30,County Down
BT31,County Down
BT32,County Down
BT33,County Down
BT34,County Down
BT35,County Armagh
BT36,County Antrim
BT37,County Antrim
BT38,County Antrim
BT39,County Antrim
BT4,Belfast
BT40,County Antrim
BT41,County Antrim
BT42,County Antrim
BT43,County Antrim
BT44,County Antrim
BT45,County Londonderry
BT46,County Londonderry
BT47,County Londonderry
BT48,County Londonderry
BT49,County Londonderry
BT5,Belfast
BT51,County Londonderry
BT52,County Londonderry
BT53,County Londonderry
BT54,County Antrim
BT55,County Londonderry
BT56,County Londonderry
BT57,County Antrim
BT58,County Londonderry
BT6,Belfast
BT60,County Armagh
BT61,County Armagh
BT62,County Armagh
BT63,County Armagh
BT64,County Armagh
BT65,County Armagh
BT66,County Armagh
BT67,County Armagh
BT68,County Armagh
BT69,County Armagh
BT7,Belfast
BT70,County Tyrone
BT71,County Tyrone
BT74,County Fermanagh
BT75,County Fermanagh
BT76,County Fermanagh
BT77,County Fermanagh
BT78,County Tyrone
BT79,County Tyrone
BT8,Belfast
BT80,County Tyrone
BT81,County Tyrone
BT82,County Tyrone
BT9,Belfast
BT92,County Fermanagh
BT93,County Fermanagh
BT94,County Fermanagh
BT99,County Fermanagh
CA1,Cumbria
CA10,Cumbria
CA11,Cumbria
CA12,Cumbria
CA13,Cumbria
CA14,Cumbria
CA15,Cumbria
CA16,Cumbria
CA17,Cumbria
CA18,Cumbria
CA19,Cumbria
CA2,Cumbria
CA20,Cumbria
CA21,Cumbria
CA22,Cumbria
CA23,Cumbria
CA24,Cumbria
CA25,Cumbria
CA26,Cumbria
CA27,Cumbria
CA28,Cumbria
CA3,Cumbria
CA4,Cumbria
CA5,Cumbria
CA6,Cumbria
CA7,Cumbria
CA8,Cumbria
CA9,Cumbria
CA95,Cumbria
CB1,Cambridgeshire
CB1,Cambridgeshire
CB10,Essex
CB10,Essex
CB11,Essex
CB11,Essex
CB2,Cambridgeshire
CB2,Cambridgeshire
CB21,Cambridgeshire
CB21,Cambridgeshire
CB22,Cambridgeshire
CB22,Cambridgeshire
CB23,Cambridgeshire
CB23,Cambridgeshire
CB24,Cambridgeshire
CB24,Cambridgeshire
CB25,Cambridgeshire
CB25,Cambridgeshire
CB3,Cambridgeshire
CB3,Cambridgeshire
CB4,Cambridgeshire
CB4,Cambridgeshire
CB5,Cambridgeshire
CB5,Cambridgeshire
CB6,Cambridgeshire
CB6,Cambridgeshire
CB7,Cambridgeshire
CB7,Cambridgeshire
CB8,Cambridgeshire
CB8,Cambridgeshire
CB9,Cambridgeshire
CB9,Cambridgeshire
CF1,Cardiff
CF1,Cardiff
CF10,Cardiff
CF10,Cardiff
CF11,Cardiff
CF11,Cardiff
CF14,Cardiff
CF14,Cardiff
CF15,Cardiff
CF15,Cardiff
CF2,Cardiff
CF2,Cardiff
CF21,Cardiff
CF21,Cardiff
CF23,Cardiff
CF23,Cardiff
CF24,Cardiff
CF24,Cardiff
CF3,Cardiff
CF3,Cardiff
CF30,Cardiff
CF30,Cardiff
CF31,Bridgend
CF31,Bridgend
CF32,Bridgend
CF32,Bridgend
CF33,Bridgend
CF33,Bridgend
CF34,Bridgend
CF34,Bridgend
CF35,Bridgend
CF35,Bridgend
CF36,Bridgend
CF36,Bridgend
CF37,Rhondda Cynon Taff
CF37,Rhondda Cynon Taff
CF38,Rhondda Cynon Taff
CF38,Rhondda Cynon Taff
CF39,Rhondda Cynon Taff
CF39,Rhondda Cynon Taff
CF4,Cardiff
CF4,Cardiff
CF40,Rhondda Cynon Taff
CF40,Rhondda Cynon Taff
CF41,Rhondda Cynon Taff
CF41,Rhondda Cynon Taff
CF42,Rhondda Cynon Taff
CF42,Rhondda Cynon Taff
CF43,Rhondda Cynon Taff
CF43,Rhondda Cynon Taff
CF44,Rhondda Cynon Taff
CF44,Rhondda Cynon Taff
CF45,Rhondda Cynon Taff
CF45,Rhondda Cynon Taff
CF46,Rhondda Cynon Taff
CF46,Rhondda Cynon Taff
CF47,Merthyr Tydfil
CF47,Merthyr Tydfil
CF48,Merthyr Tydfil
CF48,Merthyr Tydfil
CF5,Cardiff
CF5,Cardiff
CF6,Cardiff
CF6,Cardiff
CF61,Vale of Glamorgan
CF61,Vale of Glamorgan
